epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,46.42,0.527,0.33004,0.86679,0.95339,0.97739,0.98996,0.84866,0.67975,0.32476,0.88654,0.000472725,0.000472725,0.000472725
2,88.4437,0.57136,0.38083,0.8806,0.98099,0.9441,0.97824,0.80755,0.74653,0.40335,0.90968,0.000939662,0.000939662,0.000939662
3,130.053,0.62031,0.42344,0.89515,0.96305,0.95748,0.97817,0.80653,0.71337,0.38495,0.89887,0.00139717,0.00139717,0.00139717
4,171.255,0.65418,0.44819,0.90059,0.9572,0.96833,0.98143,0.80967,0.74242,0.40077,0.9145,0.00138656,0.00138656,0.00138656
5,211.812,0.64659,0.46448,0.90285,0.97159,0.93728,0.98015,0.82186,0.69714,0.38912,0.90103,0.00137241,0.00137241,0.00137241
6,252.197,0.6425,0.45585,0.90452,0.9793,0.96263,0.98244,0.79965,0.74251,0.4677,0.90175,0.00135826,0.00135826,0.00135826
7,291.758,0.66685,0.45783,0.91085,0.95504,0.94257,0.97726,0.80829,0.70378,0.39557,0.89726,0.00134412,0.00134412,0.00134412
8,331.746,0.64248,0.45372,0.90136,0.96666,0.90605,0.95231,0.79751,0.68427,0.41261,0.8974,0.00132997,0.00132997,0.00132997
9,372.84,0.65952,0.47165,0.90394,0.96804,0.97328,0.98458,0.81293,0.7334,0.42067,0.91075,0.00131582,0.00131582,0.00131582
10,413.775,0.65123,0.45034,0.89921,0.9743,0.94332,0.98295,0.81971,0.70637,0.39329,0.90348,0.00130168,0.00130168,0.00130168
11,454.251,0.6545,0.45796,0.90228,0.97169,0.94861,0.98976,0.81844,0.71953,0.37743,0.90585,0.00128753,0.00128753,0.00128753
12,494.305,0.65785,0.45202,0.90425,0.96733,0.94563,0.98646,0.81368,0.7338,0.39372,0.91567,0.00127338,0.00127338,0.00127338
13,533.273,0.63828,0.44102,0.90018,0.97449,0.96172,0.98739,0.80391,0.72325,0.37624,0.89405,0.00125923,0.00125923,0.00125923
14,572.679,0.64491,0.45227,0.89633,0.97756,0.9578,0.98803,0.81514,0.71204,0.37946,0.89876,0.00124509,0.00124509,0.00124509
15,612.94,0.63579,0.44501,0.8985,0.97692,0.94409,0.98994,0.81623,0.71257,0.37967,0.90806,0.00123094,0.00123094,0.00123094
16,653.532,0.64399,0.43368,0.902,0.96783,0.97618,0.98861,0.83385,0.69779,0.3643,0.90102,0.00121679,0.00121679,0.00121679
17,694.125,0.62168,0.42299,0.88933,0.98164,0.96982,0.98848,0.81905,0.73268,0.36406,0.90935,0.00120265,0.00120265,0.00120265
18,735.064,0.62379,0.41868,0.89826,0.96848,0.9689,0.98709,0.82366,0.70415,0.36769,0.90619,0.0011885,0.0011885,0.0011885
19,774.896,0.62423,0.41224,0.89203,0.97412,0.94478,0.9838,0.81398,0.69665,0.38351,0.89054,0.00117435,0.00117435,0.00117435
20,814.445,0.62083,0.41983,0.89989,0.97931,0.97045,0.98826,0.83229,0.72301,0.36477,0.90298,0.00116021,0.00116021,0.00116021
21,854.957,0.6282,0.42089,0.89706,0.97475,0.9807,0.98829,0.82086,0.70278,0.36783,0.90695,0.00114606,0.00114606,0.00114606
22,895.928,0.624,0.41981,0.89515,0.9741,0.95358,0.98435,0.8234,0.6964,0.37789,0.90957,0.00113191,0.00113191,0.00113191
23,937.409,0.61777,0.42585,0.89381,0.94025,0.96826,0.98208,0.80691,0.74646,0.38742,0.90965,0.00111776,0.00111776,0.00111776
24,978.849,0.61252,0.41479,0.89182,0.9671,0.95968,0.99004,0.83257,0.7013,0.36579,0.89752,0.00110362,0.00110362,0.00110362
25,1020.07,0.6004,0.40761,0.89192,0.98607,0.94385,0.98514,0.81537,0.71059,0.36636,0.90435,0.00108947,0.00108947,0.00108947
26,1060.99,0.59388,0.39195,0.88994,0.95839,0.96524,0.98903,0.82866,0.69031,0.3623,0.89636,0.00107532,0.00107532,0.00107532
